4.134480973005673299e+00,3.738161983734223703e+00,3.487962712339811144e+00,3.315590025232151294e+00,3.189584390407315784e+00,3.093429018616573600e+00,3.017612324598402562e+00
4.153059073498624798e+00,3.752508531319577401e+00,3.499643206780560067e+00,3.325437095176312585e+00,3.198093928750698201e+00,3.100920178042096520e+00,3.024302263233066501e+00
4.167579893065830987e+00,3.763722189937675822e+00,3.508773183732265100e+00,3.333134123521098946e+00,3.204745573867871844e+00,3.106775876453209850e+00,3.029531738508272731e+00
4.179374205724729840e+00,3.772831843087058878e+00,3.516191058857446539e+00,3.339388413650749676e+00,3.210150908688181204e+00,3.111534774686581795e+00,3.033782013168788705e+00
4.188979356207834570e+00,3.780251450081164144e+00,3.522233225798489187e+00,3.344483101514943435e+00,3.214554262660463291e+00,3.115411683320915781e+00,3.037244690300294980e+00
4.196599499612758244e+00,3.786139337147553796e+00,3.527029030565178136e+00,3.348527552500758286e+00,3.218050396040309735e+00,3.118490224894446605e+00,3.039994619284109856e+00
4.203032607673869769e+00,3.791110540826261754e+00,3.531078425243515007e+00,3.351942658819122567e+00,3.221002571490508615e+00,3.121089812343569747e+00,3.042316730629216703e+00
4.208369471740335932e+00,3.795237191923781062e+00,3.534441455576788460e+00,3.354779996872633951e+00,3.223456098453996166e+00,3.123250930093245614e+00,3.044247680754457175e+00
4.213210048201752045e+00,3.798981481132225113e+00,3.537493673432424490e+00,3.357355614092166540e+00,3.225683657406269944e+00,3.125213266028497916e+00,3.046001215726603650e+00
4.217237502999753751e+00,3.802098945928086948e+00,3.540036215034028544e+00,3.359502006272973684e+00,3.227540621847136304e+00,3.126849611856357125e+00,3.047463831366692855e+00
4.220481986650264972e+00,3.804612944047137013e+00,3.542088124685335515e+00,3.361235234696753338e+00,3.229040868239072548e+00,3.128172175818471068e+00,3.048646420320851202e+00
4.223167607648503186e+00,3.806696734031547624e+00,3.543790613241388776e+00,3.362674466869980616e+00,3.230287480034499392e+00,3.129271793182420769e+00,3.049630180576370364e+00
4.225368409378054579e+00,3.808407445209413655e+00,3.545190176181467923e+00,3.363858896773976870e+00,3.231314330622821807e+00,3.130178289781173628e+00,3.050441755786377662e+00
4.227105910055605875e+00,3.809761186796216670e+00,3.546299620860009050e+00,3.364799112866776465e+00,3.232130418037198361e+00,3.130899469465941554e+00,3.051088020583047733e+00
