 #(CO-core: New calculations, following Camisassa et al. 2017, ONe-core: Camisassa et al. 2019) 
 #Log(g) log(teff) mWD    tcool(gyr)  R(Rsun)   core   log(L)    Mzams       G       Bp      Rp
  7.90   4.840   0.634     0.00073    0.014820   CO     0.654    3.121    8.4677    8.1983    8.8001
  7.90   4.820   0.629     0.00086    0.014756   CO     0.571    3.056    8.5265    8.2586    8.8563
  7.90   4.800   0.623     0.00100    0.014692   CO     0.487    2.991    8.5857    8.3191    8.9138
  7.90   4.780   0.618     0.00117    0.014629   CO     0.403    2.929    8.6635    8.4018    8.9838
  7.90   4.760   0.614     0.00136    0.014567   CO     0.320    2.867    8.7146    8.4523    9.0371
  7.90   4.740   0.609     0.00157    0.014506   CO     0.237    2.807    8.7607    8.4989    9.0823
  7.90   4.720   0.604     0.00181    0.014447   CO     0.153    2.749    8.8133    8.5524    9.1333
  7.90   4.700   0.600     0.00209    0.014390   CO     0.070    2.693    8.8865    8.6270    9.2046
  7.90   4.680   0.595     0.00239    0.014337   CO    -0.013    2.640    9.0657    8.8104    9.3791
  7.90   4.660   0.591     0.00274    0.014283   CO    -0.096    2.587    9.2911    9.0490    9.5839
  7.90   4.640   0.587     0.00314    0.014231   CO    -0.178    2.536    9.4230    9.1896    9.7014
  7.90   4.620   0.583     0.00359    0.014184   CO    -0.261    2.482    9.5324    9.3063    9.7992
  7.90   4.600   0.580     0.00411    0.014144   CO    -0.344    2.414    9.6305    9.4110    9.8867
  7.90   4.580   0.577     0.00471    0.014105   CO    -0.426    2.348    9.7219    9.5087    9.9682
  7.90   4.560   0.573     0.00539    0.014066   CO    -0.509    2.284    9.8085    9.6015   10.0451
  7.90   4.540   0.570     0.00618    0.014028   CO    -0.591    2.222    9.8915    9.6906   10.1185
  7.90   4.520   0.567     0.00709    0.013992   CO    -0.673    2.163    9.9768    9.7826   10.1930
  7.90   4.500   0.565     0.00814    0.013956   CO    -0.756    2.104   10.0505    9.8622   10.2575
  7.90   4.480   0.562     0.00939    0.013920   CO    -0.838    2.047   10.1268    9.9449   10.3227
  7.90   4.460   0.559     0.01087    0.013886   CO    -0.920    1.992   10.1990   10.0235   10.3834
  7.90   4.440   0.556     0.01264    0.013853   CO    -1.002    1.940   10.2648   10.0953   10.4383
  7.90   4.420   0.554     0.01480    0.013821   CO    -1.084    1.889   10.3214   10.1569   10.4858
  7.90   4.400   0.551     0.01749    0.013790   CO    -1.166    1.839   10.3654   10.2046   10.5232
  7.90   4.380   0.549     0.02084    0.013760   CO    -1.248    1.790   10.3984   10.2401   10.5513
  7.90   4.360   0.546     0.02509    0.013727   CO    -1.330    1.738   10.4264   10.2701   10.5754
  7.90   4.340   0.544     0.03035    0.013694   CO    -1.412    1.686   10.4595   10.3055   10.6038
  7.90   4.320   0.541     0.03723    0.013666   CO    -1.493    1.638   10.5141   10.3641   10.6509
  7.90   4.300   0.540     0.04647    0.013646   CO    -1.575    1.598   10.5836   10.4383   10.7116
  7.90   4.280   0.538     0.05813    0.013626   CO    -1.656    1.560   10.6633   10.5225   10.7822
  7.90   4.260   0.537     0.07250    0.013606   CO    -1.737    1.523   10.7513   10.6149   10.8612
  7.90   4.240   0.535     0.08979    0.013588   CO    -1.819    1.487   10.8461   10.7143   10.9465
  7.90   4.220   0.534     0.11016    0.013570   CO    -1.900    1.454   10.9461   10.8193   11.0363
  7.90   4.200   0.532     0.13373    0.013554   CO    -1.981    1.422   11.0487   10.9275   11.1274
  7.90   4.180   0.531     0.16040    0.013538   CO    -2.062    1.393   11.1519   11.0375   11.2177
  7.90   4.160   0.530     0.19008    0.013523   CO    -2.143    1.365   11.2546   11.1480   11.3062
  7.90   4.140   0.529     0.22285    0.013509   CO    -2.224    1.339   11.3575   11.2599   11.3934
  7.90   4.120   0.528     0.25864    0.013496   CO    -2.305    1.315   11.4605   11.3731   11.4796
  7.90   4.100   0.527     0.29770    0.013483   CO    -2.385    1.292   11.5650   11.4889   11.5660
  7.90   4.080   0.526     0.34047    0.013471   CO    -2.466    1.270   11.6713   11.6077   11.6525
  7.90   4.060   0.525     0.38761    0.013460   CO    -2.547    1.248   11.7819   11.7319   11.7424
  7.90   4.040   0.524     0.44028    0.013448   CO    -2.628    1.226   11.8982   11.8625   11.8371
  7.90   4.020   0.523     0.50074    0.013436   CO    -2.708    1.204   12.0175   11.9977   11.9328
  7.90   4.000   0.522     0.57338    0.013423   CO    -2.789    1.181   12.1322   12.1306   12.0214
  7.90   3.980   0.521     0.66560    0.013409   CO    -2.870    1.156   12.2614   12.2784   12.1239
  7.90   3.960   0.520     0.78238    0.013396   CO    -2.951    1.131   12.3968   12.4337   12.2315
  7.90   3.940   0.519     0.91907    0.013383   CO    -3.032    1.108   12.5377   12.5962   12.3427
  7.90   3.920   0.518     1.07077    0.013372   CO    -3.112    1.088   12.6837   12.7650   12.4583
  7.90   3.900   0.518     1.23102    0.013363   CO    -3.193    1.072   12.8333   12.9391   12.5761
  7.90   3.880   0.517     1.39597    0.013355   CO    -3.273    1.058   12.9910   13.1228   12.7011
  7.90   3.860   0.517     1.56672    0.013350   CO    -3.354    1.048   13.1568   13.3161   12.8335
  7.90   3.840   0.516     1.74882    0.013344   CO    -3.434    1.038   13.3539   13.5515   12.9854
  7.90   3.820   0.516     1.99288    0.013340   CO    -3.514    1.030   13.5252   13.7526   13.1230
  7.90   3.800   0.516     2.25341    0.013337   CO    -3.595    1.024   13.6987   13.9575   13.2625
  7.90   3.780   0.515     2.51541    0.013334   CO    -3.675    1.019   13.8798   14.1726   13.4081
  7.90   3.760   0.515     2.76208    0.013331   CO    -3.755    1.014   14.0703   14.3998   13.5621
  7.90   3.740   0.515     3.01290    0.013329   CO    -3.835    1.011   14.2620   14.6295   13.7176
  7.90   3.720   0.515     3.27143    0.013327   CO    -3.915    1.007   14.4594   14.8664   13.8791
  7.90   3.700   0.515     3.52729    0.013326   CO    -3.995    1.005   14.6661   15.1151   14.0494
  7.90   3.680   0.515     3.79400    0.013325   CO    -4.075    1.002   14.8704   15.3614   14.2195
  8.00   4.900   0.692     0.00047    0.013792   CO     0.833    3.591    8.4793    8.2052    8.8208
  8.00   4.880   0.686     0.00055    0.013731   CO     0.749    3.572    8.5365    8.2642    8.8743
  8.00   4.860   0.681     0.00064    0.013672   CO     0.666    3.555    8.5939    8.3231    8.9289
  8.00   4.840   0.676     0.00075    0.013616   CO     0.583    3.538    8.6517    8.3823    8.9841
  8.00   4.820   0.671     0.00087    0.013562   CO     0.499    3.522    8.7096    8.4417    9.0394
  8.00   4.800   0.666     0.00101    0.013511   CO     0.417    3.507    8.7677    8.5011    9.0958
  8.00   4.780   0.662     0.00117    0.013469   CO     0.334    3.472    8.8406    8.5781    9.1627
  8.00   4.760   0.658     0.00134    0.013433   CO     0.251    3.423    8.8876    8.6249    9.2106
  8.00   4.740   0.654     0.00153    0.013396   CO     0.168    3.376    8.9309    8.6689    9.2527
  8.00   4.720   0.651     0.00175    0.013360   CO     0.086    3.331    8.9823    8.7213    9.3024
  8.00   4.700   0.647     0.00200    0.013324   CO     0.003    3.286    9.0588    8.7993    9.3766
  8.00   4.680   0.644     0.00229    0.013289   CO    -0.079    3.243    9.2615    9.0076    9.5722
  8.00   4.660   0.640     0.00261    0.013253   CO    -0.161    3.200    9.4659    9.2250    9.7557
  8.00   4.640   0.637     0.00298    0.013219   CO    -0.244    3.159    9.5915    9.3591    9.8675
  8.00   4.620   0.634     0.00340    0.013185   CO    -0.326    3.119    9.6975    9.4721    9.9620
  8.00   4.600   0.631     0.00388    0.013152   CO    -0.408    3.080    9.7936    9.5748   10.0477
  8.00   4.580   0.628     0.00444    0.013120   CO    -0.490    3.042    9.8835    9.6710   10.1277
  8.00   4.560   0.625     0.00509    0.013089   CO    -0.572    3.006    9.9686    9.7623   10.2031
  8.00   4.540   0.622     0.00586    0.013059   CO    -0.654    2.971   10.0513    9.8512   10.2759
  8.00   4.520   0.619     0.00676    0.013029   CO    -0.736    2.937   10.1301    9.9361   10.3449
  8.00   4.500   0.616     0.00784    0.013001   CO    -0.818    2.904   10.2073   10.0197   10.4116
  8.00   4.480   0.614     0.00915    0.012973   CO    -0.900    2.872   10.2816   10.1005   10.4747
