#    1         2         3         4         5         6       7      8            9             10       11           18        19              23                     24         25           26    
# LOG(L)   LOG(TEFF)    T_c      Ro_c       Hc        Hec   %Con_s %Con_c    Log(edad/Myr)      Masa    M^dot        Log(Lnu)  Log MHtot       Log(grav)   R/R_sun   L.H.[erg/s)] Sep.Fase[erg/s]   
 3.177353  5.600987  2.383893  7.964381  0.000000  0.000000  0.000  0.000    2.292122254195348  1.15919 -33.00000   4.2913674 -39.9358472    8.6837885   0.0081103   0.000000      -0.000000    
 3.171516  5.599608  2.383854  7.964355  0.000000  0.000000  0.000  0.000    2.292122254771685  1.15919 -33.00000   4.2912121 -39.9358472    8.6841105   0.0081073   0.000000      -0.000000    
 3.165405  5.598174  2.383843  7.964394  0.000000  0.000000  0.000  0.000    2.292122255463290  1.15919 -33.00000   4.2911913 -23.6031782    8.6844842   0.0081038   0.000000      -0.000000    
 3.159196  5.596713  2.383795  7.964371  0.000000  0.000000  0.000  0.000    2.292122256250018  1.15919 -33.00000   4.2910067 -23.4279206    8.6848487   0.0081004   0.000000      -0.000000    
 3.152572  5.595163  2.383774  7.964413  0.000000  0.000000  0.000  0.000    2.292122257194092  1.15919 -33.00000   4.2909508 -23.5191603    8.6852728   0.0080965   0.000000      -0.000000    
 3.145759  5.593565  2.383715  7.964392  0.000000  0.000000  0.000  0.000    2.292122258268144  1.15919 -33.00000   4.2907264 -23.3205546    8.6856927   0.0080926   0.000000      -0.000000    
 3.138405  5.591848  2.383680  7.964438  0.000000  0.000000  0.000  0.000    2.292122259557006  1.15919 -33.00000   4.2906225 -23.1609896    8.6861793   0.0080880   0.000000      -0.000000    
 3.130798  5.590068  2.383605  7.964422  0.000000  0.000000  0.000  0.000    2.292122261023551  1.15919 -33.00000   4.2903433 -23.0006756    8.6866646   0.0080835   0.000000      -0.000000    
 3.122576  5.588151  2.383551  7.964473  0.000000  0.000000  0.000  0.000    2.292122262783405  1.15919 -33.00000   4.2901737 -22.9886005    8.6872220   0.0080783   0.000000      -0.000000    
 3.114095  5.586170  2.383455  7.964462  0.000000  0.000000  0.000  0.000    2.292122264786310  1.15919 -33.00000   4.2898227 -22.9412977    8.6877790   0.0080731   0.000000      -0.000000    
