#    1         2         3         4         5         6       7      8            9             10       11           18        19              23                     24         25           26    
# LOG(L)   LOG(TEFF)    T_c      Ro_c       Hc        Hec   %Con_s %Con_c    Log(edad/Myr)      Masa    M^dot        Log(Lnu)  Log MHtot       Log(grav)   R/R_sun   L.H.[erg/s)] Sep.Fase[erg/s]   
 3.422477  5.730619  2.637564  8.524192  0.000000  0.000000  0.000  0.000    2.292122266540024  1.29190 -33.00000   5.7280492 -24.0265782    9.0042678   0.0059202   0.000000      -0.000000    
 3.410769  5.727814  2.637267  8.524350  0.000000  0.000000  0.000  0.000    2.292122266958689  1.29190 -33.00000   5.7273219 -24.0265782    9.0047570   0.0059169   0.000000      -0.000000    
 3.404192  5.726250  2.636883  8.524440  0.000000  0.000000  0.000  0.000    2.292122267437430  1.29190 -33.00000   5.7262802 -24.0265782    9.0050792   0.0059147   0.000000      -0.000000    
 3.399569  5.725174  2.636472  8.524640  0.000000  0.000000  0.000  0.000    2.292122268011918  1.29190 -33.00000   5.7252513 -24.0265782    9.0053978   0.0059125   0.000000      -0.000000    
 3.395925  5.724331  2.635958  8.524778  0.000000  0.000000  0.000  0.000    2.292122268670085  1.29190 -33.00000   5.7238643 -24.0265782    9.0056682   0.0059107   0.000000      -0.000000    
 3.392728  5.723611  2.635392  8.525036  0.000000  0.000000  0.000  0.000    2.292122269459884  1.29190 -33.00000   5.7224236 -24.0265782    9.0059849   0.0059085   0.000000      -0.000000    
 3.389808  5.722955  2.634701  8.525241  0.000000  0.000000  0.000  0.000    2.292122270367069  1.29190 -33.00000   5.7205637 -24.0265782    9.0062815   0.0059065   0.000000      -0.000000    
 3.386963  5.722334  2.633926  8.525578  0.000000  0.000000  0.000  0.000    2.292122271455691  1.29190 -33.00000   5.7185600 -24.0265782    9.0066454   0.0059040   0.000000      -0.000000    
 3.384149  5.721721  2.632998  8.525873  0.000000  0.000000  0.000  0.000    2.292122272710543  1.29190 -33.00000   5.7160520 -24.0265782    9.0070064   0.0059016   0.000000      -0.000000    
 3.381254  5.721109  2.631945  8.526318  0.000000  0.000000  0.000  0.000    2.292122274216367  1.29190 -33.00000   5.7132805 -24.0265794    9.0074529   0.0058985   0.000000      -0.000000    
 3.378246  5.720472  2.630698  8.526739  0.000000  0.000000  0.000  0.000    2.292122275960612  1.29190 -33.00000   5.7098841 -23.7980696    9.0079137   0.0058954   0.000000      -0.000000    
 3.375059  5.719817  2.629274  8.527331  0.000000  0.000000  0.000  0.000    2.292122278053706  1.29190 -33.00000   5.7060626 -23.6258072    9.0084799   0.0058916   0.000000      -0.000000    
 3.371642  5.719113  2.627601  8.527924  0.000000  0.000000  0.000  0.000    2.292122280494494  1.29190 -33.00000   5.7014431 -23.4373611    9.0090817   0.0058875   0.000000      -0.000000    
 3.367958  5.718376  2.625688  8.528721  0.000000  0.000000  0.000  0.000    2.292122283423440  1.29190 -33.00000   5.6961901 -23.3420288    9.0098144   0.0058825   0.000000      -0.000000    
 3.363956  5.717575  2.623454  8.529555  0.000000  0.000000  0.000  0.000    2.292122286870958  1.29190 -33.00000   5.6898902 -23.3884660    9.0106128   0.0058771   0.000000      -0.000000    
 3.359600  5.716726  2.620904  8.530633  0.000000  0.000000  0.000  0.000    2.292122291007980  1.29190 -33.00000   5.6826764 -23.3209969    9.0115733   0.0058706   0.000000      -0.000000    
 3.354791  5.715791  2.617928  8.531800  0.000000  0.000000  0.000  0.000    2.292122295941129  1.29190 -33.00000   5.6740302 -23.2651350    9.0126420   0.0058634   0.000000      -0.000000    
 3.349540  5.714795  2.614555  8.533260  0.000000  0.000000  0.000  0.000    2.292122301860908  1.29190 -33.00000   5.6641054 -23.0939685    9.0139117   0.0058548   0.000000      -0.000000    
 3.343724  5.713698  2.610659  8.534875  0.000000  0.000000  0.000  0.000    2.292122308964642  1.29190 -33.00000   5.6522982 -23.0353921    9.0153397   0.0058452   0.000000      -0.000000    
 3.337387  5.712533  2.606290  8.536846  0.000000  0.000000  0.000  0.000    2.292122317489123  1.29190 -33.00000   5.6387756 -22.8561475    9.0170166   0.0058339   0.000000      -0.000000    
 3.330392  5.711251  2.601312  8.538994  0.000000  0.000000  0.000  0.000    2.292122327718500  1.29190 -33.00000   5.6227934 -22.8554398    9.0188843   0.0058214   0.000000      -0.000000    
