3733.9,5.170,4.107,3.628,3.355
4308.9,4.382,3.641,3.300,3.104
5516.6,2.857,2.682,2.600,2.553
6520.2,2.055,2.119,2.149,2.166
8006.9,1.420,1.516,1.561,1.587
12482.9,0.764,0.709,0.684,0.669
16588.4,0.502,0.449,0.425,0.411
21897.7,0.331,0.302,0.288,0.280
37772.5,0.159,0.153,0.150,0.148
5200.0,3.225,2.914,2.770,2.687
6628.5,1.959,2.055,2.099,2.125
7898.6,1.454,1.555,1.601,1.628
9050.1,1.188,1.234,1.255,1.267
3586.8,5.419,4.239,3.715,3.419
4716.7,3.843,3.303,3.054,2.910
6165.1,2.255,2.285,2.300,2.308
7475.9,1.583,1.698,1.751,1.782
8922.9,1.211,1.263,1.286,1.300
4876.7,3.634,3.172,2.958,2.835
6200.1,2.241,2.271,2.284,2.292
7520.8,1.568,1.682,1.734,1.765
8665.3,1.258,1.322,1.352,1.369
9706.3,1.074,1.087,1.094,1.097
3693.2,5.243,4.145,3.652,3.373
4797.3,3.739,3.237,3.006,2.872
6195.8,2.245,2.273,2.286,2.294
7515.3,1.571,1.684,1.737,1.767
8664.4,1.259,1.323,1.353,1.370
9710.3,1.075,1.088,1.094,1.098
4796.6,3.739,3.237,3.006,2.872
6382.6,2.113,2.176,2.205,2.221
7769.0,1.490,1.595,1.644,1.672
9108.2,1.175,1.217,1.236,1.247
9850.4,1.051,1.058,1.061,1.063
2248.3,12.405,7.760,5.956,5.027
2394.0,10.907,6.989,5.458,4.666
2742.5,7.986,5.487,4.488,3.963
