0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,0.000000000000000000e+00
4.000000000000000222e-01,0.000000000000000000e+00
6.000000000000000888e-01,0.000000000000000000e+00
8.000000000000000444e-01,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000178e+00,0.000000000000000000e+00
1.400000000000000133e+00,0.000000000000000000e+00
1.600000000000000089e+00,0.000000000000000000e+00
1.800000000000000044e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000178e+00,0.000000000000000000e+00
2.400000000000000355e+00,0.000000000000000000e+00
2.600000000000000089e+00,0.000000000000000000e+00
2.800000000000000266e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
3.200000000000000178e+00,0.000000000000000000e+00
3.400000000000000355e+00,0.000000000000000000e+00
3.600000000000000089e+00,0.000000000000000000e+00
3.800000000000000266e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00
4.200000000000000178e+00,0.000000000000000000e+00
4.400000000000000355e+00,0.000000000000000000e+00
4.600000000000000533e+00,0.000000000000000000e+00
4.800000000000000711e+00,0.000000000000000000e+00
5.000000000000000000e+00,0.000000000000000000e+00
5.200000000000000178e+00,0.000000000000000000e+00
5.400000000000000355e+00,0.000000000000000000e+00
5.600000000000000533e+00,0.000000000000000000e+00
5.800000000000000711e+00,0.000000000000000000e+00
6.000000000000000000e+00,0.000000000000000000e+00
6.200000000000000178e+00,0.000000000000000000e+00
6.400000000000000355e+00,0.000000000000000000e+00
6.600000000000000533e+00,0.000000000000000000e+00
6.800000000000000711e+00,0.000000000000000000e+00
7.000000000000000000e+00,0.000000000000000000e+00
7.200000000000000178e+00,0.000000000000000000e+00
7.400000000000000355e+00,5.446862306962274908e-07
7.600000000000000533e+00,3.388864222775216294e-06
7.800000000000000711e+00,4.864237232611865589e-06
8.000000000000000000e+00,7.415801925265589192e-06
8.200000000000001066e+00,1.109500784454521027e-05
8.400000000000000355e+00,1.556376018549669065e-05
8.599999999999999645e+00,1.991953938746870089e-05
8.800000000000000711e+00,2.538212055619412901e-05
9.000000000000000000e+00,3.354201136972490276e-05
9.200000000000001066e+00,4.497765410508124947e-05
9.400000000000000355e+00,6.207918145826670658e-05
9.600000000000001421e+00,8.522731026108954107e-05
9.800000000000000711e+00,1.205368921678907386e-04
1.000000000000000000e+01,1.809799010401759868e-04
1.020000000000000107e+01,2.919350820219032694e-04
1.040000000000000036e+01,5.086256944611115176e-04
1.060000000000000142e+01,8.655621228393768586e-04
1.080000000000000071e+01,1.279834589781205303e-03
1.100000000000000000e+01,1.688223733490280647e-03
1.120000000000000107e+01,2.227464660041352049e-03
1.140000000000000036e+01,2.856757720260483767e-03
1.160000000000000142e+01,3.477115028827991450e-03
1.180000000000000071e+01,4.404881203258270705e-03
1.200000000000000000e+01,5.353517135355316710e-03
1.220000000000000107e+01,6.228485483928188939e-03
1.240000000000000036e+01,7.282308882702169528e-03
1.260000000000000142e+01,8.571646218498606834e-03
1.280000000000000071e+01,1.007261242269525195e-02
1.300000000000000000e+01,1.209060237380140540e-02
1.320000000000000107e+01,1.453431156305935203e-02
1.340000000000000036e+01,1.744680341266889589e-02
1.360000000000000142e+01,2.109879629092459991e-02
1.380000000000000071e+01,2.606311740530202481e-02
1.400000000000000000e+01,3.287315719682380732e-02
1.420000000000000107e+01,4.432466646629078938e-02
1.440000000000000036e+01,8.046681918453256477e-02
1.460000000000000142e+01,1.788680485638959039e-01
1.480000000000000071e+01,2.231796522878605749e-01
1.500000000000000000e+01,1.928581836423108598e-01
1.520000000000000107e+01,5.709850524515758946e-02
1.540000000000000036e+01,1.869215190745798783e-02
1.560000000000000142e+01,9.583581029104165996e-03
1.580000000000000071e+01,5.380588123318808674e-03
1.600000000000000000e+01,3.121796469571514951e-03
1.619999999999999929e+01,1.890214540704837111e-03
1.640000000000000213e+01,1.244859161518756989e-03
1.660000000000000142e+01,7.678625418601053030e-04
1.680000000000000071e+01,5.667675110135960521e-04
1.700000000000000000e+01,4.614177579630162349e-04
1.719999999999999929e+01,3.731302082916656540e-04
1.740000000000000213e+01,3.056688581981267003e-04
1.760000000000000142e+01,2.815546198741710848e-04
1.780000000000000071e+01,1.952679051332476218e-04
1.800000000000000000e+01,1.268978048426270622e-04
1.819999999999999929e+01,8.655490758627582579e-05
1.840000000000000213e+01,6.450204047146248512e-05
1.860000000000000142e+01,4.968883357220104031e-05
1.880000000000000071e+01,4.121701474024942828e-05
1.900000000000000000e+01,3.512035414239857552e-05
1.920000000000000284e+01,3.039677569032945154e-05
1.940000000000000213e+01,2.654926629507793750e-05
1.960000000000000142e+01,2.465945669549134952e-05
1.980000000000000071e+01,2.240233317686038544e-05
