 #(He-core: Althaus et al. 2013, CO-core: Camisassa    et al. 2016, ONe-core: Camisassa et al. 2019)
 #Log(g) log(teff) mWD    tcool(gyr)  R(Rsun)   core   log(L)   TpreWD(gyr)  Mzams     Mbol    F070W     F090W     F115W     F150W     F200W     F277W     F356W     F444W     F164N     F187N     F212N     F323N     F405N      G         BP        RP         U         B         V         R         I         J         H         K          L       FUV       NUV        u         g         r         i         z       F220W     F250W     F330W     F344N     F435W     F475W     F502N     F550M     F555W     F606W     F625W     F658N     F660N     F775W     F814W     F850LP    F892N
  7.00   4.700   0.425     0.00003    0.034109   He     0.821     0.00000   0.000    2.6878    7.6824    8.1818    8.6840    9.2325    9.8254   10.5161   11.0627   11.5086    9.4432    9.7332    9.9796   10.8753   11.3543    7.1620    6.9065    7.4875    5.6456    6.8612    7.1770    7.3225    7.5151    7.9293    8.0577    8.2285    8.3213    5.0419    5.6793    6.4332    6.8859    7.4265    7.8110    8.1710    3.9476    4.5050    5.1527    5.2310    6.8261    7.0075    7.1051    7.2013    7.1475    7.2136    7.2953    7.2500    7.3223    7.4617    7.5165    7.6760    7.6722
  7.00   4.680   0.369     0.00002    0.031764   He     0.679     0.00000   0.000    3.0423    7.8811    8.3790    8.8800    9.4280   10.0210   10.7117   11.2583   11.7044    9.6388    9.9305   10.1750   11.0708   11.5505    7.3628    7.1092    7.6858    5.8541    7.0641    7.3767    7.5215    7.7128    8.1253    8.2532    8.4239    8.5168    5.2653    5.8956    6.6420    7.0876    7.6258    8.0090    8.3683    4.1637    4.7179    5.3622    5.4402    7.0292    7.2091    7.3053    7.4007    7.3477    7.4134    7.4944    7.4530    7.5236    7.6596    7.7143    7.8731    7.8694
  7.00   4.660   0.360     0.00002    0.031496   He     0.590     0.00000   0.000    3.2660    7.9474    8.4438    8.9434    9.4909   10.0840   10.7746   11.3213   11.7677    9.7016    9.9955   10.2377   11.1337   11.6144    7.4315    7.1802    7.7519    5.9318    7.1353    7.4442    7.5882    7.7782    8.1886    8.3160    8.4867    8.5798    5.3593    5.9819    6.7199    7.1575    7.6929    8.0746    8.4332    4.2498    4.8006    5.4411    5.5186    7.1006    7.2787    7.3735    7.4678    7.4158    7.4812    7.5614    7.5244    7.5930    7.7252    7.7796    7.9378    7.9342
  7.00   4.640   0.358     0.00003    0.031446   He     0.506     0.00000   0.000    3.4740    8.0011    8.4957    8.9938    9.5407   10.1340   10.8246   11.3713   11.8181    9.7515   10.0478   10.2873   11.1837   11.6656    7.4878    7.2388    7.8051    5.9977    7.1942    7.4991    7.6423    7.8307    8.2390    8.3658    8.5365    8.6298    5.4423    6.0569    6.7861    7.2150    7.7473    8.1274    8.4852    4.3247    4.8719    5.5083    5.5854    7.1597    7.3359    7.4290    7.5224    7.4714    7.5363    7.6157    7.5837    7.6501    7.7779    7.8321    7.9897    7.9862
  7.00   4.620   0.355     0.00003    0.031369   He     0.423     0.00000   0.000    3.6821    8.0595    8.5521    9.0486    9.5948   10.1883   10.8788   11.4257   11.8730    9.8056   10.1049   10.3413   11.2379   11.7215    7.5490    7.3026    7.8631    6.0698    7.2583    7.5588    7.7011    7.8879    8.2937    8.4199    8.5905    8.6842    5.5320    6.1387    6.8585    7.2775    7.8066    8.1849    8.5418    4.4063    4.9497    5.5818    5.6583    7.2240    7.3981    7.4895    7.5816    7.5318    7.5962    7.6748    7.6483    7.7122    7.8352    7.8893    8.0460    8.0427
  7.00   4.600   0.353     0.00004    0.031273   He     0.340     0.00000   0.000    3.8903    8.1229    8.6134    9.1079    9.6533   10.2472   10.9377   11.4847   11.9326    9.8643   10.1669   10.3996   11.2967   11.7824    7.6155    7.3720    7.9260    6.1486    7.3281    7.6237    7.7650    7.9499    8.3530    8.4785    8.6490    8.7431    5.6292    6.2279    6.9376    7.3454    7.8710    8.2473    8.6032    4.4953    5.0347    5.6622    5.7381    7.2941    7.4658    7.5552    7.6460    7.5975    7.6614    7.7390    7.7189    7.7799    7.8975    7.9513    8.1072    8.1040
  7.00   4.580   0.350     0.00005    0.031161   He     0.257     0.00000   0.000    4.0987    8.1921    8.6801    9.1723    9.7169   10.3111   11.0015   11.5487   11.9974    9.9280   10.2346   10.4630   11.3605   11.8489    7.6882    7.4480    7.9946    6.2353    7.4044    7.6946    7.8348    8.0176    8.4173    8.5421    8.7125    8.8070    5.7351    6.3259    7.0248    7.4197    7.9413    8.3153    8.6701    4.5931    5.1283    5.7507    5.8261    7.3707    7.5397    7.6270    7.7163    7.6693    7.7326    7.8091    7.7964    7.8540    7.9654    8.0189    8.1738    8.1708
  7.00   4.560   0.347     0.00006    0.031038   He     0.173     0.00000   0.000    4.3072    8.2684    8.7535    9.2430    9.7865   10.3809   11.0711   11.6184   12.0682    9.9977   10.3090   10.5320   11.4300   11.9220    7.7685    7.5321    8.0703    6.3321    7.4888    7.7727    7.9118    8.0921    8.4879    8.6116    8.7818    8.8766    5.8513    6.4347    7.1221    7.5018    8.0189    8.3903    8.7437    4.7017    5.2326    5.8496    5.9243    7.4554    7.6214    7.7061    7.7939    7.7485    7.8111    7.8864    7.8823    7.9361    8.0402    8.0934    8.2471    8.2442
  7.00   4.540   0.345     0.00008    0.030906   He     0.090     0.00000   0.000    4.5157    8.3530    8.8345    9.3207    9.8628   10.4576   11.1473   11.6948   12.1458   10.0741   10.3912   10.6077   11.5061   12.0027    7.8576    7.6256    8.1541    6.4408    7.5826    7.8593    7.9970    8.1746    8.5655    8.6879    8.8577    8.9529    5.9801    6.5565    7.2314    7.5929    8.1049    8.4732    8.8251    4.8235    5.3498    5.9608    6.0347    7.5497    7.7121    7.7939    7.8797    7.8363    7.8983    7.9721    7.9782    8.0274    8.1230    8.1758    8.3280    8.3254
  7.00   4.520   0.342     0.00010    0.030768   He     0.006     0.00000   0.000    4.7243    8.4468    8.9241    9.4061    9.9463   10.5411   11.2302   11.7775   12.2299   10.1578   10.4813   10.6901   11.5885   12.0909    7.9566    7.7300    8.2470    6.5636    7.6872    7.9554    8.0917    8.2659    8.6507    8.7713    8.9403    9.0355    6.1232    6.6938    7.3550    7.6943    8.2004    8.5651    8.9150    4.9607    5.4822    6.0865    6.1597    7.6548    7.8129    7.8915    7.9750    7.9339    7.9950    8.0673    8.0852    8.1292    8.2146    8.2670    8.4174    8.4150
