#   log L/Lo     log Teff      B_V          V_R          V_K          R_I          J_H          H_K          V_I          U_V          BC(V)        dmag_v     log age(yr)
   0.5272166    4.9908459   -0.3472832   -0.1465233   -1.0449208   -0.2058438   -0.1507230   -0.1321897   -0.3523671   -1.6651674   -6.7694058   10.2033185    5.2263604
   0.4641651    4.9756720   -0.3464494   -0.1460357   -1.0420434   -0.2051757   -0.1502800   -0.1318585   -0.3512113   -1.6620639   -6.6494808   10.2410222    5.2695310
   0.4011562    4.9604931   -0.3456639   -0.1455717   -1.0392554   -0.2045277   -0.1498485   -0.1315393   -0.3500994   -1.6589679   -6.5291559   10.2782196    5.3125971
   0.3389627    4.9454913   -0.3448636   -0.1451041   -1.0364773   -0.2038759   -0.1494232   -0.1312294   -0.3489800   -1.6558065   -6.4101406   10.3146880    5.3557135
   0.2780285    4.9307754   -0.3440807   -0.1446473   -1.0337618   -0.2032347   -0.1490093   -0.1309325   -0.3478820   -1.6526419   -6.2932449   10.3501278    5.3989876
   0.2181454    4.9162943   -0.3433169   -0.1442003   -1.0310956   -0.2026016   -0.1486041   -0.1306466   -0.3468020   -1.6494669   -6.1781152   10.3847058    5.4425459
   0.1587674    4.9019141   -0.3425431   -0.1437514   -1.0284393   -0.2019651   -0.1482041   -0.1303701   -0.3457164   -1.6462232   -6.0637237   10.4187594    5.4865758
   0.1009529    4.8879030   -0.3417822   -0.1433117   -1.0258471   -0.2013387   -0.1478164   -0.1301078   -0.3446505   -1.6429805   -5.9522432   10.4518151    5.5312684
   0.0446386    4.8742425   -0.3410333   -0.1428808   -1.0233163   -0.2007219   -0.1474407   -0.1298596   -0.3436028   -1.6397373   -5.8435383   10.4838960    5.5768810
  -0.0100871    4.8609665   -0.3402976   -0.1424592   -1.0208508   -0.2001157   -0.1470775   -0.1296258   -0.3425750   -1.6365013   -5.7379169   10.5150888    5.6237015
  -0.0634297    4.8480069   -0.3395706   -0.1420445   -1.0184366   -0.1995166   -0.1467247   -0.1294052   -0.3415611   -1.6332561   -5.6348673   10.5453957    5.6720818
  -0.1153089    4.8353944   -0.3388558   -0.1416375   -1.0160759   -0.1989255   -0.1463822   -0.1291977   -0.3405629   -1.6300114   -5.5346615   10.5748879    5.7224453
  -0.1656787    4.8231432   -0.3381487   -0.1412375   -1.0137734   -0.1983427   -0.1460516   -0.1290044   -0.3395802   -1.6267673   -5.4374256   10.6035765    5.7753127
  -0.2145992    4.8112411   -0.3374509   -0.1408443   -1.0115235   -0.1977674   -0.1457317   -0.1288245   -0.3386117   -1.6235231   -5.3430938   10.6315459    5.8314476
  -0.2619556    4.7997205   -0.3367638   -0.1404587   -1.0093310   -0.1972008   -0.1454229   -0.1286583   -0.3376595   -1.6202890   -5.2519401   10.6587833    5.8917855
